actionable_rank,page_reference,review_priority_score,model_score,feature_impressions,feature_clicks,feature_ctr,feature_avg_position,feature_position_volatility,feature_active_days,feature_available_days,position_band,archetype,action_label,reason_code,confidence_level,confidence_note,review_cost_tier,estimated_review_minutes,human_review_required
4465,REVIEW-04465,60.6,0.5860640840698459,1275.0,2.0,0.001568627450980392,8.035992052160559,0.9483750895782163,15,15,Page 1,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4466,REVIEW-04466,60.6,0.5492075930964818,1628.0,3.0,0.0018427518427518428,4.605292977334878,1.0490781449359574,15,15,Page 1,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4467,REVIEW-04467,60.6,0.5471060086464846,1650.0,3.0,0.0018181818181818182,4.335354927521121,0.9983618147219246,15,15,Page 1,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4468,REVIEW-04468,60.6,0.533219323642442,1811.0,6.0,0.0033130866924351186,7.522400342038761,1.7282722486483628,15,15,Page 1,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4469,REVIEW-04469,60.6,0.5323077174243842,1824.0,4.0,0.0021929824561403508,2.34377072599043,0.9915118625387305,15,15,Top 3,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4470,REVIEW-04470,60.6,0.525113705429542,1921.0,5.0,0.0026028110359187923,2.978086083534952,1.0910487848596166,15,15,Top 3,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4471,REVIEW-04471,60.6,0.47675716741639673,2907.0,12.0,0.0041279669762641896,5.472326252512301,0.9705100505396296,15,15,Page 1,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4472,REVIEW-04472,60.59,0.6305150529996556,981.0,0.0,0.0,7.035917670659099,1.2038222133352674,15,15,Page 1,HIGH_RISK_STABLE_VISIBILITY,REFRESH_AND_PROTECT,HIGH_RISK_STABLE_PAGE_1,MEDIUM,High measured risk with stable Page-1 visibility.,MEDIUM,75,True
4473,REVIEW-04473,60.59,0.5802590397890879,1319.0,1.0,0.000758150113722517,3.594236328337373,1.347172870379509,15,15,Page 1,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4474,REVIEW-04474,60.59,0.5768800405158034,1348.0,1.0,0.000741839762611276,2.1306833253135955,0.8238868813680394,15,15,Top 3,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
